name,cruise,sample,filename,depth,Crit_2,Crit_3,station_combined,station,ctd,DCM_depth,is_DCM,Highes_Chl,collect_time_UTC,extract_date,filter,type,northorsouth,main_line,long,lat,lat_pos,pressure_CTD,temp_CTD,salinity_CTD,fluor,PAR_uE,SPAR_uE,PAR_SPAR,N_P_numeric,PSTAR,N_P_non_num,PO4_combined,NO3_NO2_combined,PO4_combined_char,  SRP (umol/L),MAGIC_SRP (umol/L),  TDP (umol/L),DOP_calc (umol/L),  PO4 (uM),SiOH4 (uM),  NO3 (uM),  NO2 (uM),  NH4 (uM),NPOC (uM),TN (uM)
AE1319_A001_QE001613,AE1319,A001,QE001613,1,3.189,12.241,1,BATS,4,120,FALSE,FALSE,8/15/2013 17:17,11/21/2013,D,profile,North,TRUE,-64.1682,31.66718,31.66718,2.49,28.77,36.2,-0.0098,983.05,,,,0,,,0,,,,0.072908038,,,,,,,,
AE1319_A002_QE001672,AE1319,A002,QE001672,1,3.189,12.241,1,BATS,4,120,FALSE,FALSE,8/15/2013 17:17,11/26/2013,D,profile,North,TRUE,-64.1682,31.66718,31.66718,2.49,28.77,36.2,-0.0176,983.05,,,,0,,,0,,,,0.072908038,,,,,,,,
AE1319_A006_QE001619,AE1319,A006,QE001619,20,3.189,12.241,1,BATS,4,120,FALSE,FALSE,8/15/2013 17:17,11/21/2013,D,profile,North,TRUE,-64.1682,31.66718,31.66718,19.89,27.07,36.61,0.019,182.84,,,,0,,,0,,,,0.084014422,,,,,,,,
AE1319_A008_QE001634,AE1319,A008,QE001634,40,3.189,12.241,1,BATS,4,120,FALSE,FALSE,8/15/2013 17:17,11/22/2013,D,profile,North,TRUE,-64.1682,31.66718,31.66718,40.72,23.42,36.61,0.0739,126.24,,,,0,,,0,,,,0.07947633,,,,,,,,
AE1319_A010_QE001628,AE1319,A010,QE001628,60,3.189,12.241,1,BATS,4,120,FALSE,FALSE,8/15/2013 17:17,11/22/2013,D,profile,North,TRUE,-64.1682,31.66718,31.66718,61.61,20.98,36.67,0.1581,61.553,,,,0,,,0,,,,0.091657525,,,,,,,,
AE1319_A012_QE001617,AE1319,A012,QE001617,80,3.189,12.241,1,BATS,4,120,FALSE,FALSE,8/15/2013 17:17,11/21/2013,D,profile,North,TRUE,-64.1682,31.66718,31.66718,80.86,20.24,36.65,0.2571,33.999,,,,0,,,0,,,,0.080073447,,,,,,,,
AE1319_A014_QE001644,AE1319,A014,QE001644,120,3.189,12.241,1,BATS,4,120,FALSE,FALSE,8/15/2013 17:17,11/25/2013,D,profile,North,TRUE,-64.1682,31.66718,31.66718,120.97,19.34,36.61,0.4544,4.2489,,,,-0.047922271,,,0.8,,,,0.101927945,,,,,,,,
AE1319_A015_QE001677,AE1319,A015,QE001677,120,3.189,12.241,1,BATS,4,120,TRUE,TRUE,8/15/2013 17:17,11/26/2013,D,profile,North,TRUE,-64.1682,31.66718,31.66718,120.97,19.34,36.61,0.4843,4.2489,,,,-0.047922271,,,0.8,,,,0.101927945,,,,,,,,
AE1319_A019_QE001640,AE1319,A019,QE001640,1,45.606,42.736,2,GULF S,5,80,FALSE,FALSE,8/17/2013 7:43,11/22/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,3.13,27.65,35.68,0.0762,0.91323,,,,-0.00078721,,,0,,,,0.131067275,,,,,,,,
AE1319_A020_QE001662,AE1319,A020,QE001662,1,45.606,42.736,2,GULF S,5,80,FALSE,FALSE,8/17/2013 7:43,11/26/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,3.13,27.65,35.68,0.0763,0.91323,,,,-0.00078721,,,0,,,,0.131067275,,,,,,,,
AE1319_A024_QE001627,AE1319,A024,QE001627,20,45.606,42.736,2,GULF S,5,80,FALSE,FALSE,8/17/2013 7:43,11/22/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,20.4,27.8,35.81,0.078,1.00E-12,,,,0,,,0,,,,0.116736457,,,,,,,,
AE1319_A026_QE001626,AE1319,A026,QE001626,40,45.606,42.736,2,GULF S,5,80,FALSE,FALSE,8/17/2013 7:43,11/22/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,40.6,27.97,35.92,0.1114,1.00E-12,,,,0,,,0,,,,0.114347987,,,,,,,,
AE1319_A028_QE001629,AE1319,A028,QE001629,60,45.606,42.736,2,GULF S,5,80,FALSE,FALSE,8/17/2013 7:43,11/22/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,60.58,26.6,36.33,0.1783,1.00E-12,,,,0,,,0,,,,0.104794108,,,,,,,,
AE1319_A030_QE001645,AE1319,A030,QE001645,80,45.606,42.736,2,GULF S,5,80,TRUE,TRUE,8/17/2013 7:43,11/25/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,79.7,24.75,36.53,0.3692,1.00E-12,,,,-0.000571707,,,0,,,,0.101211404,,,,,,,,
AE1319_A032_QE001638,AE1319,A032,QE001638,120,45.606,42.736,2,GULF S,5,80,FALSE,FALSE,8/17/2013 7:43,11/22/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,120.01,21.24,36.69,0.1064,1.00E-12,,,,-0.097558412,,,1.6,,,,0.152563503,,,,,,,,
AE1319_A033_QE001667,AE1319,A033,QE001667,120,45.606,42.736,2,GULF S,5,80,FALSE,FALSE,8/17/2013 7:43,11/26/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,120.01,21.24,36.69,0.0956,1.00E-12,,,,-0.097558412,,,1.6,,,,0.152563503,,,,,,,,
AE1319_A037_QE001659,AE1319,A037,QE001659,1,10.887,10.887,3,ST3,6,35,FALSE,FALSE,8/18/2013 15:52,11/25/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,1.88,21.15,31.94,0.1674,1649.6,,,0,0.026487688,,0.03,0,0.03,,,0.257297899,0.230810212,0.03,,,,,,
AE1319_A038_QE001681,AE1319,A038,QE001681,1,10.887,10.887,3,ST3,6,35,FALSE,FALSE,8/18/2013 15:52,11/26/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,1.88,21.15,31.94,0.1632,1649.6,,,0,0.026487688,,0.03,0,0.03,,,0.257297899,0.230810212,0.03,,,,,,
AE1319_A042_QE001647,AE1319,A042,QE001647,10,10.887,10.887,3,ST3,6,35,FALSE,FALSE,8/18/2013 15:52,11/25/2013,D,profile,North,FALSE,-66.6531,37.73375,37.73375,10.45,20.31,31.96,0.4861,165.84,,,0,0.090735613,,0.09,0,0.09,,,0.338147599,0.247411986,0.09,,,,,,
AE1319_A044_QE001621,AE1319,A044,QE001621,25,10.887,10.887,3,ST3,6,35,FALSE,FALSE,8/18/2013 15:52,11/21/2013,D,profile,North,FALSE,-69.20828,42.02558,42.02558,25.73,11.93,32.51,2.9179,32.549,,,0,0.274761246,,0.27,0,0.27,,,0.457332237,0.182570991,0.27,,,,,,
AE1319_A045_QE001654,AE1319,A045,QE001654,35,10.887,10.887,3,ST3,6,35,TRUE,TRUE,8/18/2013 15:52,11/25/2013,D,profile,North,FALSE,-69.20828,42.02558,42.02558,35.06,10.49,32.54,3.0913,12.099,,,2.829011402,0.337987591,,0.41,1.2,0.41,,,0.161072426,0,0.41,,,,,,
AE1319_A047_QE001636,AE1319,A047,QE001636,50,10.887,10.887,3,ST3,6,35,FALSE,FALSE,8/18/2013 15:52,11/22/2013,D,profile,North,FALSE,-69.20828,42.02558,42.02558,51.08,6.6,32.91,1.0851,2.0576,,,9.820405198,0.307724136,,0.8,7.8,0.8,,,0.515819889,0,0.8,,,,,,
AE1319_A048_QE001648,AE1319,A048,QE001648,50,10.887,10.887,3,ST3,6,35,FALSE,FALSE,8/18/2013 15:52,11/25/2013,D,profile,North,FALSE,-69.20828,42.02558,42.02558,51.08,6.6,32.91,0.9237,2.0576,,,9.820405198,0.307724136,,0.8,7.8,0.8,,,0.515819889,0,0.8,,,,,,
AE1319_A050_QE001622,AE1319,A050,QE001622,70,10.887,10.887,3,ST3,6,35,FALSE,FALSE,8/18/2013 15:52,11/22/2013,D,profile,North,FALSE,-69.20828,42.02558,42.02558,70.49,6.22,33.13,0.2112,0.4335,,,11.47583189,0.262996157,,0.93,10.7,0.93,,,0.653216609,0,0.93,,,,,,
AE1319_A051_QE001646,AE1319,A051,QE001646,70,10.887,10.887,3,ST3,6,35,FALSE,FALSE,8/18/2013 15:52,11/25/2013,D,profile,North,FALSE,-69.20828,42.02558,42.02558,70.49,6.22,33.13,0.1902,0.4335,,,11.47583189,0.262996157,,0.93,10.7,0.93,,,0.653216609,0,0.93,,,,,,
AE1319_A052_QE001674,AE1319,A052,QE001674,70,10.887,10.887,3,ST3,6,35,FALSE,FALSE,8/18/2013 15:52,11/26/2013,D,profile,North,FALSE,-69.20828,42.02558,42.02558,70.49,6.22,33.13,0.1799,0.4335,,,11.47583189,0.262996157,,0.93,10.7,0.93,,,0.653216609,0,0.93,,,,,,
AE1319_A602_QE001830,AE1319,A602,QE001830,1,40.548,25.738,4,,9,20,FALSE,TRUE,8/26/2013 10:45,5/6/2016,D,profile,North,TRUE,-48.9976,55.00157,55.00157,2.41,10.38,34.26,1.8651,405.19,,,,0,,,,,,,0.346387819,,,,,,,,
AE1319_A603_QE001828,AE1319,A603,QE001828,20,40.548,25.738,4,,9,20,TRUE,FALSE,8/26/2013 10:45,5/6/2016,D,profile,North,TRUE,-48.9976,55.00157,55.00157,21.13,10.35,34.27,3.887,20.525,,,1.021435663,0.134586189,,0.14,0.1,0.14,,,0.387469498,0.243705452,0.14,,,,,,
AE1319_A604_QE001829,AE1319,A604,QE001829,40,40.548,25.738,4,,9,20,FALSE,FALSE,8/26/2013 10:45,5/6/2016,D,profile,North,TRUE,-48.9976,55.00157,55.00157,40.4,7.72,34.31,1.7136,2.8488,,,10.35874905,0.148164977,,0.42,4.4,0.42,,,0.223172638,0,0.42,,,,,,
AE1319_A605_QE001841,AE1319,A605,QE001841,60,40.548,25.738,4,,9,20,FALSE,FALSE,8/26/2013 10:45,5/6/2016,D,profile,North,TRUE,-48.9976,55.00157,55.00157,60.42,5.44,34.44,0.145,0.57068,,,13.96125056,0.10166883,,0.8,11.1,0.8,,,0.550751259,0,0.8,,,,,,
AE1319_A606_QE001840,AE1319,A606,QE001840,100,40.548,25.738,4,,9,20,FALSE,FALSE,8/26/2013 10:45,5/6/2016,D,profile,North,TRUE,-48.9976,55.00157,55.00157,101.03,4.73,34.58,0.0068,0.048864,,,14.6828545,0.087091131,,1.06,15.5,1.06,,,0.771207013,0,1.06,,,,,,
AE1319_A607_QE001809,AE1319,A607,QE001809,160,40.548,25.738,4,,9,20,FALSE,FALSE,8/26/2013 10:45,5/5/2016,D,profile,North,TRUE,-48.9976,55.00157,55.00157,162.12,3.77,34.6,-0.0128,1.00E-12,,,14.70328549,0.077861024,,0.96,14.1,0.96,,,0.703673032,0,0.96,,,,,,
AE1319_A610_QE001827,AE1319,A610,QE001827,1,29.743,27.642,5,,13,25,FALSE,FALSE,8/27/2013 14:07,5/6/2016,D,profile,North,TRUE,-46.00018,53.00218,53.00218,2.14,11.84,34.43,1.2519,676.79,,,4.642039114,0.114157544,,0.16,0.7,0.16,,,0.381186142,0.220372003,0.16,,,,,,
AE1319_A612_QE001824,AE1319,A612,QE001824,25,29.743,27.642,5,,13,25,TRUE,TRUE,8/27/2013 14:07,5/6/2016,D,profile,North,TRUE,-46.00018,53.00218,53.00218,25.03,11.73,34.43,5.0405,27.367,,,4.869230787,0.116315163,,0.17,0.8,0.17,,,0.385154678,0.217956655,0.17,,,,,,
AE1319_A614_QE001806,AE1319,A614,QE001806,40,29.743,27.642,5,,13,25,FALSE,FALSE,8/27/2013 14:07,5/5/2016,D,profile,North,TRUE,-46.00018,53.00218,53.00218,25.34,11.72,34.42,0.7696,28.845,,,5.107731338,0.122676421,,0.18,0.9,0.18,,,0.017465692,0,0.18,,,,,,
AE1319_A616_QE001817,AE1319,A616,QE001817,60,29.743,27.642,5,,13,25,FALSE,FALSE,8/27/2013 14:07,5/5/2016,D,profile,North,TRUE,-46.00018,53.00218,53.00218,61.79,7.66,34.68,0.1255,1.0899,,,14.52915876,0.062316387,,0.68,9.8,0.68,,,0.124176931,0,0.68,,,,,,
AE1319_A618_QE001815,AE1319,A618,QE001815,100,29.743,27.642,5,,13,25,FALSE,FALSE,8/27/2013 14:07,5/5/2016,D,profile,North,TRUE,-46.00018,53.00218,53.00218,101.11,6.05,34.64,0.1255,0.11897,,,14.6106577,0.075338655,,0.87,12.7,0.87,,,0.569918962,0,0.87,,,,,,
AE1319_A620_QE001811,AE1319,A620,QE001811,160,29.743,27.642,5,,13,25,FALSE,FALSE,8/27/2013 14:07,5/5/2016,D,profile,North,TRUE,-46.00018,53.00218,53.00218,162.17,5.7,34.67,-0.0133,1.00E-12,,,14.62864984,0.078863818,,0.92,13.5,0.92,,,0.357008676,0,0.92,,,,,,
AE1319_A623_QE001740,AE1319,A623,QE001740,5,39.5,25.756,6,,14,45,FALSE,FALSE,8/28/2013 8:00,4/29/2016,D,profile,North,TRUE,-42.99827,50.99995,50.99995,5.4,13.37,34.05,0.6033,21.27,,,0,0.074516052,,0.07,0,0.07,,,0.279823121,0.205307069,0.07,,,,,,
AE1319_A624_QE001737,AE1319,A624,QE001737,20,39.5,25.756,6,,14,45,FALSE,TRUE,8/28/2013 8:00,4/29/2016,D,profile,North,TRUE,-42.99827,50.99995,50.99995,21.16,13.23,34.08,0.748,4.0629,,,0,0.072762044,,0.07,0,0.07,,,0.292555507,0.219793463,0.07,,,,,,
AE1319_A626_QE001715,AE1319,A626,QE001715,45,39.5,25.756,6,,14,45,TRUE,FALSE,8/28/2013 8:00,4/28/2016,D,profile,North,TRUE,-42.99827,50.99995,50.99995,45.5,11.4,34.51,0.7111,0.46876,,,0,0.227175707,,0.23,0,0.23,,,0.392099616,0.164923909,0.23,,,,,,
AE1319_A628_QE001720,AE1319,A628,QE001720,60,39.5,25.756,6,,14,45,FALSE,FALSE,8/28/2013 8:00,4/28/2016,D,profile,North,TRUE,-42.99827,50.99995,50.99995,59.68,10.81,34.96,0.19,0.11173,,,13.7107577,0.078918519,,0.55,7.6,0.55,,,0.284019021,0,0.55,,,,,,
AE1319_A630_QE001734,AE1319,A630,QE001734,100,39.5,25.756,6,,14,45,FALSE,FALSE,8/28/2013 8:00,4/29/2016,D,profile,North,TRUE,-42.99827,50.99995,50.99995,102.03,10.26,35.06,0.0521,1.00E-12,,,14.79715218,0.050891667,,0.68,10,0.68,,,0.344208482,0,0.68,,,,,,
AE1319_A632_QE001721,AE1319,A632,QE001721,160,39.5,25.756,6,,14,45,FALSE,FALSE,8/28/2013 8:00,4/28/2016,D,profile,North,TRUE,-42.99827,50.99995,50.99995,162.19,9.41,35.1,-0.0099,1.00E-12,,,15.45530721,0.035829778,,1.05,16.3,1.05,,,0.630108424,0,1.05,,,,,,
AE1319_A636_QE001727,AE1319,A636,QE001727,5,31.728,20.789,7,,19,20,FALSE,FALSE,8/29/2013 15:12,4/29/2016,D,profile,North,TRUE,-40.00523,48.99763,48.99763,5.78,15.7,34.92,0.9983,162.52,,,,0,,,0,,,,0.230398313,,,,,,,,
AE1319_A637_QE001726,AE1319,A637,QE001726,20,31.728,20.789,7,,19,20,TRUE,TRUE,8/29/2013 15:12,4/29/2016,D,profile,North,TRUE,-40.00523,48.99763,48.99763,20.47,15.59,34.99,1.5272,55.781,,,0,0.03135287,,0.03,0,0.03,,,0.236533008,0.205180138,0.03,,,,,,
AE1319_A638_QE001728,AE1319,A638,QE001728,40,31.728,20.789,7,,19,20,FALSE,FALSE,8/29/2013 15:12,4/29/2016,D,profile,North,TRUE,-40.00523,48.99763,48.99763,41.86,13.15,35.48,0.4425,8.9694,,,15.35328399,0.016088583,,0.4,6.1,0.4,,,0.247297662,0,0.4,,,,,,
AE1319_A639_QE001729,AE1319,A639,QE001729,60,31.728,20.789,7,,19,20,FALSE,FALSE,8/29/2013 15:12,4/29/2016,D,profile,North,TRUE,-40.00523,48.99763,48.99763,60.45,13.07,35.6,0.0956,2.1169,,,16.19957937,-0.006413609,,0.51,8.3,0.51,,,0.48866319,0,0.51,,,,,,
AE1319_A640_QE001733,AE1319,A640,QE001733,100,31.728,20.789,7,,19,20,FALSE,FALSE,8/29/2013 15:12,4/29/2016,D,profile,North,TRUE,-40.00523,48.99763,48.99763,98.99,13.18,35.72,-0.0177,0.3034,,,16.81044248,-0.028469819,,0.56,9.4,0.56,,,0.581956855,0.019897092,0.56,,,,,,
AE1319_A641_QE001730,AE1319,A641,QE001730,160,31.728,20.789,7,,19,20,FALSE,FALSE,8/29/2013 15:12,4/29/2016,D,profile,North,TRUE,-40.00523,48.99763,48.99763,160.95,11.76,35.44,-0.0216,1.00E-12,,,15.87963097,0.005254834,,0.7,11.1,0.7,,,0.757258661,0.058762165,0.7,,,,,,
AE1319_A642_QE001759,AE1319,A642,QE001759,5,20.719,19.928,8,,20,45,FALSE,FALSE,8/30/2013 9:20,5/2/2016,D,profile,North,TRUE,-42.49037,47.00637,47.00637,4.5,18.78,33.27,0.2773,152.91,,,0,0.025427773,,0.03,0,0.03,,,0.213846211,0.188418438,0.03,,,,,,
AE1319_A644_QE001756,AE1319,A644,QE001756,20,20.719,19.928,8,,20,45,FALSE,FALSE,8/30/2013 9:20,5/2/2016,D,profile,North,TRUE,-42.49037,47.00637,47.00637,19.61,18.62,33.26,0.3036,37.195,,,0,0.03453156,,0.03,,0.03,,,0.238153494,0.203621934,0.03,,,,,,
AE1319_A646_QE001749,AE1319,A646,QE001749,45,20.719,19.928,8,,20,45,TRUE,TRUE,8/30/2013 9:20,5/2/2016,D,profile,North,TRUE,-42.49037,47.00637,47.00637,46.49,6.82,33.63,2.4416,2.1263,,,0,0.148078895,,0.15,,0.15,,,0.352744968,0.204666073,0.15,,,,,,
AE1319_A648_QE001761,AE1319,A648,QE001761,60,20.719,19.928,8,,20,45,FALSE,FALSE,8/30/2013 9:20,5/2/2016,D,profile,North,TRUE,-42.49037,47.00637,47.00637,59.92,6.25,34.16,0.2438,0.5153,,,0,0.575257932,,0.58,,0.58,,,0.645155789,0.069897857,0.58,,,,,,
AE1319_A650_QE001755,AE1319,A650,QE001755,100,20.719,19.928,8,,20,45,FALSE,FALSE,8/30/2013 9:20,5/2/2016,D,profile,North,TRUE,-42.49037,47.00637,47.00637,100.64,6.69,34.45,0.033,0.019324,,,0,0.795150073,,0.8,,0.8,,,0.509729501,0,0.8,,,,,,
AE1319_A652_QE001753,AE1319,A652,QE001753,160,20.719,19.928,8,,20,45,FALSE,FALSE,8/30/2013 9:20,5/2/2016,D,profile,North,TRUE,-42.49037,47.00637,47.00637,161.93,7.86,34.87,-0.0017,1.00E-12,,,0,1.239315723,,1.24,,1.24,,,0.524776866,0,1.24,,,,,,
AE1319_A656_QE001697,AE1319,A656,QE001697,5,19.851,13.756,9,,25,60,FALSE,FALSE,8/31/2013 14:20,4/26/2016,D,profile,North,TRUE,-44.99968,44.9995,44.9995,5.38,18.67,32.96,0.2423,243.95,,,,0,,,,,,,0.235838515,,,,,,,,
AE1319_A657_QE001701,AE1319,A657,QE001701,20,19.851,13.756,9,,25,60,FALSE,FALSE,8/31/2013 14:20,4/26/2016,D,profile,North,TRUE,-44.99968,44.9995,44.9995,20.82,17.57,32.98,0.3961,64.34,,,0,0.045543601,,0.05,0,0.05,,,,,0.05,,,,,,
AE1319_A658_QE001700,AE1319,A658,QE001700,40,19.851,13.756,9,,25,60,FALSE,TRUE,8/31/2013 14:20,4/26/2016,D,profile,North,TRUE,-44.99968,44.9995,44.9995,40.22,8.39,33.17,2.667,10.518,,,0,0.111399604,,0.11,0,0.11,,,0.31454781,0.203148206,0.11,,,,,,
AE1319_A659_QE001698,AE1319,A659,QE001698,60,19.851,13.756,9,,25,60,TRUE,FALSE,8/31/2013 14:20,4/26/2016,D,profile,North,TRUE,-44.99968,44.9995,44.9995,60.46,0.51,33.34,0.4951,0.63211,,,9.441743102,0.326372483,,0.8,7.5,0.8,,,0.916008365,0.119766343,0.8,,,,,,
AE1319_A660_QE001687,AE1319,A660,QE001687,100,19.851,13.756,9,9,25,60,FALSE,FALSE,8/31/2013 14:20,4/26/2016,D,profile,North,TRUE,-44.99968,44.9995,44.9995,100.51,5.92,34.35,0.0259,0.032435,,,13.25814698,0.136040262,,0.79,10.5,0.79,,,0.464587405,0,0.79,,,,,,
AE1319_A661_QE001822,AE1319,A661,QE001822,160,19.851,13.756,9,9,25,60,FALSE,FALSE,8/31/2013 14:20,4/26/2016,D,profile,North,TRUE,-44.99968,44.9995,44.9995,162.26,5.49,34.52,-0.0032,1.00E-12,,,14.55492773,0.096409714,,1.07,15.5,1.07,,,0.742963664,0,1.07,,,,,,
AE1319_A663_QE001714,AE1319,A663,QE001714,5,8.903,7.203,10,,26,45,FALSE,FALSE,9/1/2013 17:47,4/28/2016,D,profile,North,TRUE,-47.50498,43.00218,43.00218,5.61,19.49,32.39,0.1169,14.642,,,0,0.088477606,,0.09,0,0.09,,,0.258800767,0.170323161,0.09,,,,,,
AE1319_A665_QE001718,AE1319,A665,QE001718,20,8.903,7.203,10,,26,45,FALSE,FALSE,9/1/2013 17:47,4/28/2016,D,profile,North,TRUE,-47.50498,43.00218,43.00218,20.02,11.19,32.4,0.4524,6.651,,,0,0.156230895,,0.16,0,0.16,,,0.353283587,0.197052692,0.16,,,,,,
AE1319_A666_QE001709,AE1319,A666,QE001709,45,8.903,7.203,10,,26,45,TRUE,TRUE,9/1/2013 17:47,4/28/2016,D,profile,North,TRUE,-47.50498,43.00218,43.00218,45.04,4.76,33.29,1.8076,0.43321,,,4.076542768,0.34892468,,0.47,1.9,0.47,,,0.614822987,0.146603512,0.47,,,,,,
AE1319_A668_QE001704,AE1319,A668,QE001704,60,8.903,7.203,10,,26,45,FALSE,FALSE,9/1/2013 17:47,4/28/2016,D,profile,North,TRUE,-47.50498,43.00218,43.00218,58.85,5.32,33.74,1.0973,0.058847,,,9.376604666,0.256453851,,0.62,5.8,0.62,,,0.17801111,0,0.62,,,,,,
AE1319_A670_QE001688,AE1319,A670,QE001688,100,8.903,7.203,10,,26,45,FALSE,FALSE,9/1/2013 17:47,4/26/2016,D,profile,North,TRUE,-47.50498,43.00218,43.00218,102.71,7.53,34.57,0.0619,1.00E-12,,,13.66210177,0.122856288,,0.84,11.5,0.84,,,0.338221108,0,0.84,,,,,,
AE1319_A671_QE001722,AE1319,A671,QE001722,160,8.903,7.203,10,,26,45,FALSE,FALSE,9/1/2013 17:47,4/28/2016,D,profile,North,TRUE,-47.50498,43.00218,43.00218,162.9,8.43,34.85,0.0038,1.00E-12,,,14.69309008,0.089931965,,1.1,16.2,1.1,,,0.587436662,0,1.1,,,,,,
AE1319_A672_QE001723,AE1319,A672,QE001723,,,,,,,,,,,4/28/2016,,blank,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
AE1319_A675_QE001694,AE1319,A675,QE001694,5,19.813,12.801,11,,30,55,FALSE,FALSE,9/2/2013 19:05,4/26/2016,D,profile,North,TRUE,-49.99072,41.00222,41.00222,4.29,23.54,34.03,0.0431,0.47272,,,0,0.010214705,,0.01,0,0.01,,0.010214705,0.153774212,0.143559507,0.01,,,,,,
AE1319_A676_QE001690,AE1319,A676,QE001690,20,19.813,12.801,11,,30,55,FALSE,FALSE,9/2/2013 19:05,4/26/2016,D,profile,North,TRUE,-49.99072,41.00222,41.00222,18.96,23.11,34.28,0.0684,1.00E-12,,,0,0.011159793,,0.011,0,0.011,,0.011159793,0.14596911,0.134809317,0.011,,,,,,
AE1319_A677_QE001695,AE1319,A677,QE001695,55,19.813,12.801,11,,30,55,TRUE,TRUE,9/2/2013 19:05,4/26/2016,D,profile,North,TRUE,-49.99072,41.00222,41.00222,56.01,16.16,35.92,1.0432,1.00E-12,,,17.47078555,-0.008424258,,0.092,1.6,0.092,,0.091643633,0.299743322,0.208099689,0.092,,,,,,
AE1319_A678_QE001691,AE1319,A678,QE001691,70,19.813,12.801,11,,30,55,FALSE,FALSE,9/2/2013 19:05,4/26/2016,D,profile,North,TRUE,-49.99072,41.00222,41.00222,69.39,15.59,35.95,1.0432,1.00E-12,,,29.58821819,-0.180052144,,0.212,6.3,0.212,,0.212009717,,,0.212,,,,,,
AE1319_A679_QE001696,AE1319,A679,QE001696,100,19.813,12.801,11,,30,55,FALSE,FALSE,9/2/2013 19:05,4/26/2016,D,profile,North,TRUE,-49.99072,41.00222,41.00222,101.98,14.37,35.8,0.0846,1.00E-12,,,37.32770663,-0.323387611,,0.243,9.1,0.243,,0.242604696,,,0.243,,,,,,
AE1319_A680_QE001689,AE1319,A680,QE001689,160,19.813,12.801,11,,30,55,FALSE,FALSE,9/2/2013 19:05,4/26/2016,D,profile,North,TRUE,-49.99072,41.00222,41.00222,162.16,14.01,35.8,-0.0203,1.00E-12,,,41.66132351,-0.404281791,,0.252,10.5,0.252,,0.252072293,,,0.252,,,,,,
AE1319_A683_QE001792,AE1319,A683,QE001792,5,61.51,46.68,12,,33,90,FALSE,FALSE,9/3/2013 20:05,5/5/2016,D,profile,North,TRUE,-52.49865,39.00038,39.00038,5.33,26.29,36.08,0.0289,0.027591,,,0,0.0005,,0.001,0,0.001,,0.0005,0.089005555,0.088505555,0.001,,,,,,
AE1319_A685_QE001794,AE1319,A685,QE001794,20,61.51,46.68,12,,33,90,FALSE,FALSE,9/3/2013 20:05,5/5/2016,D,profile,North,TRUE,-52.49865,39.00038,39.00038,20.22,26.29,36.09,0.0255,1.00E-12,,,0,0.0005,,0.001,0,0.001,,0.0005,0.087636239,0.087136239,0.001,,,,,,
AE1319_A687_QE001790,AE1319,A687,QE001790,70,61.51,46.68,12,,33,90,FALSE,FALSE,9/3/2013 20:05,5/5/2016,D,profile,North,TRUE,-52.49865,39.00038,39.00038,69.98,24.15,36.54,0.2977,1.00E-12,,,0,0.0005,,0.001,0,0.001,,0.0005,0.071204444,0.070704444,0.001,,,,,,
AE1319_A689_QE001821,AE1319,A689,QE001821,90,61.51,46.68,12,,33,90,TRUE,TRUE,9/3/2013 20:05,5/5/2016,D,profile,North,TRUE,-52.49865,39.00038,39.00038,91.56,22.97,36.58,0.8965,1.00E-12,,,301.3128973,-0.008916028,,0.001,0.2,0.001,,0.0005,0.08352829,0.08302829,0.001,,,,,,
AE1319_A691_QE001802,AE1319,A691,QE001802,100,61.51,46.68,12,,33,90,FALSE,FALSE,9/3/2013 20:05,5/5/2016,D,profile,North,TRUE,-52.49865,39.00038,39.00038,102.59,22.04,36.61,0.629,1.00E-12,,,29.830366,-0.026503467,,0.031,0.9,0.031,,0.030661189,0.109545298,0.078884109,0.031,,,,,,
AE1319_A692_QE001804,AE1319,A692,QE001804,100,61.51,46.68,12,,33,90,FALSE,FALSE,9/3/2013 20:05,5/5/2016,D,profile,North,TRUE,-52.49865,39.00038,39.00038,102.59,22.04,36.61,0.5781,1.00E-12,,,29.830366,-0.026503467,,0.031,0.9,0.031,,0.030661189,0.109545298,0.078884109,0.031,,,,,,
AE1319_A695_QE001805,AE1319,A695,QE001805,,,,,,,,,,,5/5/2016,,blank,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
AE1319_A696_QE001835,AE1319,A696,QE001835,5,34.723,26.794,13,,35,120,FALSE,FALSE,9/4/2013 19:21,5/6/2016,D,profile,North,TRUE,-55.00002,37.0008,37.0008,4.62,27.01,36.55,0.0098,0.024991,,,0,0.001162451,,0.001,0,0.001,,0.001162451,0.078051025,0.076888574,0.001,,,,,,
